Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638152872742088754, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0357486, -0.001967713, -0.03533156, 0.02772518, 0.0004000855, -0.03317401
638152872742258773, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03577646, -0.001871903, -0.03540503, 0.02766965, 0.0004946442, -0.03321709
638152872742428757, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03578879, -0.001816193, -0.03542116, 0.02763918, 0.0004688874, -0.03309515
638152872742588858, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03579015, -0.001824188, -0.03537546, 0.02763586, 0.0004688874, -0.03309515
638152872742758819, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03578809, -0.0018293, -0.03536167, 0.02765686, 0.0005741272, -0.03343749
638152872742919021, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03577155, -0.001819458, -0.03536061, 0.02766422, 0.0005484467, -0.03337918
638152872743089009, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03579613, -0.001953278, -0.03488887, 0.02765906, 0.0005442658, -0.03327236
638152872743259000, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03582337, -0.00198642, -0.03468318, 0.02762703, 0.000506897, -0.03306893
638152872743419000, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03583895, -0.001897415, -0.03468275, 0.02759892, 0.0004495697, -0.03288887
638152872743589027, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03583824, -0.001810379, -0.03480135, 0.02759453, 0.0004387817, -0.03283998
638152872743748998, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03583704, -0.001815216, -0.03460007, 0.0275882, 0.0004322357, -0.03278501
638152872743918930, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03583313, -0.001792954, -0.03450608, 0.02758936, 0.0004424744, -0.03281391
638152872744089001, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03581595, -0.001670059, -0.0347552, 0.02758936, 0.000454834, -0.03286278
638152872744258933, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03580181, -0.001537003, -0.03507125, 0.02758742, 0.0004613037, -0.03286867
638152872744419018, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03584633, -0.001625885, -0.03476218, 0.02758615, 0.000454834, -0.03284259
638152872744588999, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03585623, -0.001625885, -0.03475723, 0.02758466, 0.0004523773, -0.03281391
